DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
198,-112.1104965,65.73255157,13.98565635,1.759655476,4.875080585,1.788530406,5.102103316,15.77418675,19.08775967
199,-112.1104965,65.73255157,13.99986697,1.759655476,4.875080585,1.776961146,5.077694618,15.77682812,19.07756159
200,-112.1104965,65.73255157,14.01407759,1.759655476,4.875080585,1.765391885,5.053285919,15.77946948,19.06736351
201,-112.1104965,65.73255157,14.02828821,1.759655476,4.875080585,1.753822625,5.028877221,15.78211084,19.05716543
202,-112.1104965,65.73255157,14.04249883,1.759655476,4.875080585,1.742253365,5.004468522,15.7847522,19.04696736
203,-112.1104965,65.73255157,14.05670945,1.759655476,4.875080585,1.730684105,4.980059824,15.78739356,19.03676928
204,-112.1104965,65.73255157,14.07092008,1.759655476,4.875080585,1.719114844,4.955651125,15.79003492,19.0265712
205,-112.1104965,65.73255157,14.0851307,1.759655476,4.875080585,1.707545584,4.931242426,15.79267628,19.01637312
206,-112.1104965,65.73255157,14.09934132,1.759655476,4.875080585,1.695976324,4.906833728,15.79531764,19.00617505
207,-112.1104965,65.73255157,14.0268898,1.759655476,4.875080585,1.687866851,4.910814936,15.71475665,18.93770473
208,-112.1104965,65.73255157,13.95443828,1.759655476,4.875080585,1.679757378,4.914796145,15.63419566,18.86923442
209,-112.1104965,65.73255157,13.88198676,1.759655476,4.875080585,1.671647905,4.918777354,15.55363466,18.80076411
210,-112.1104965,65.73255157,13.80953524,1.759655476,4.875080585,1.663538432,4.922758562,15.47307367,18.7322938
211,-112.1104965,65.73255157,13.73708372,1.759655476,4.875080585,1.65542896,4.926739771,15.39251268,18.66382349
212,-112.1104965,65.73255157,13.6646322,1.759655476,4.875080585,1.647319487,4.930720979,15.31195168,18.59535318
213,-112.1104965,65.73255157,13.59218068,1.759655476,4.875080585,1.639210014,4.934702188,15.23139069,18.52688286
214,-112.0644989,65.45358276,13.51972916,1.50944519,4.998618126,1.631100541,4.938683397,15.1508297,18.45841255
215,-112.0644989,65.45358276,13.44727764,1.50944519,4.998618126,1.622991068,4.942664605,15.0702687,18.38994224
216,-112.0644989,65.45358276,13.37482612,1.50944519,4.998618126,1.614881595,4.946645814,14.98970771,18.32147193
217,-112.0644989,65.45358276,13.24771983,1.50944519,4.998618126,1.607760199,4.951502344,14.85548003,18.19922218
218,-112.0644989,65.45358276,13.12061355,1.50944519,4.998618126,1.600638803,4.956358874,14.72125235,18.07697242
219,-112.0644989,65.45358276,12.99350726,1.50944519,4.998618126,1.593517406,4.961215404,14.58702467,17.95472267
220,-112.0644989,65.45358276,12.86640098,1.50944519,4.998618126,1.58639601,4.966071934,14.45279699,17.83247291
221,-112.0644989,65.45358276,12.73929469,1.50944519,4.998618126,1.579274613,4.970928464,14.31856931,17.71022316
222,-112.0644989,65.45358276,12.61218841,1.50944519,4.998618126,1.572153217,4.975784994,14.18434163,17.5879734
223,-112.0644989,65.45358276,12.48508213,1.50944519,4.998618126,1.56503182,4.980641524,14.05011395,17.46572365
224,-112.0644989,65.45358276,12.35797584,1.50944519,4.998618126,1.557910424,4.985498054,13.91588627,17.3434739
225,-112.0644989,65.45358276,12.23086956,1.50944519,4.998618126,1.550789028,4.990354584,13.78165858,17.22122414
226,-112.0644989,65.45358276,12.10376327,1.50944519,4.998618126,1.543667631,4.995211114,13.6474309,17.09897439
227,-112.0644989,65.45358276,11.93178375,1.50944519,4.998618126,1.542325836,5.006644692,13.47410959,16.93842845
228,-112.0644989,65.45358276,11.75980423,1.50944519,4.998618126,1.540984041,5.018078271,13.30078827,16.7778825
229,-112.0644989,65.45358276,11.58782471,1.50944519,4.998618126,1.539642246,5.029511849,13.12746696,16.61733656
230,-112.0644989,65.45358276,11.41584519,1.50944519,4.998618126,1.538300451,5.040945428,12.95414565,16.45679062
231,-112.0644989,65.45358276,11.24386567,1.50944519,4.998618126,1.536958656,5.052379006,12.78082433,16.29624468
232,-112.0644989,65.45358276,11.07188616,1.50944519,4.998618126,1.535616861,5.063812585,12.60750302,16.13569874
